Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
692,167.55,0.1000,210.00,167.55
693,132.90,0.1000,200.00,132.90
694,246.65,0.1000,310.00,246.65
695,192.30,0.1000,240.00,192.30
696,138.95,0.1000,190.00,138.95
697,275.90,0.1000,335.00,275.90
698,342.85,0.1000,405.00,342.85
699,143.30,0.1000,200.00,143.30
700,475.25,0.1000,535.00,475.25
701,288.95,0.1000,365.00,288.95
702,250.15,0.1000,315.00,250.15
703,187.65,0.1000,240.00,187.65
704,178.70,0.1000,220.00,178.70
708,205.10,0.1000,260.00,205.10
709,336.65,0.1000,400.00,336.65
710,183.30,0.1000,225.00,183.30
711,135.40,0.1000,185.00,135.40
712,201.85,0.1000,265.00,201.85
713,184.65,0.1000,250.00,184.65
714,93.20,0.1000,125.00,93.20
715,450.35,0.1000,575.00,450.35
716,231.90,0.1000,290.00,231.90
717,258.10,0.1000,325.00,258.10
718,176.45,0.1000,230.00,176.45
719,135.65,0.1000,180.00,135.65
720,253.25,0.1000,320.00,253.25
721,263.45,0.1000,310.00,263.45
722,219.75,0.1000,280.00,219.75
723,58.10,0.1000,95.00,58.10
724,280.20,0.1000,340.00,280.20
725,342.55,0.1000,400.00,342.55
726,126.65,0.1000,165.00,126.65
727,108.55,0.1000,160.00,108.55
728,88.20,0.1000,145.00,88.20
729,99.35,0.1000,135.00,99.35
730,209.35,0.1000,255.00,209.35
731,312.90,0.1000,400.00,312.90
732,482.35,0.1000,580.00,482.35
733,78.00,0.1000,115.00,78.00
734,396.20,0.1000,455.00,396.20
735,480.75,0.1000,575.00,480.75
736,222.35,0.1000,305.00,222.35
737,125.20,0.1000,175.00,125.20
738,465.65,0.1000,530.00,465.65
739,314.35,0.1000,370.00,314.35
740,132.70,0.1000,190.00,132.70
741,141.10,0.1000,185.00,141.10
742,149.30,0.1000,200.00,149.30
743,221.40,0.1000,285.00,221.40
744,174.40,0.1000,230.00,174.40
745,284.65,0.1000,365.00,284.65
746,91.15,0.1000,150.00,91.15
747,245.50,0.1000,310.00,245.50
748,169.05,0.1000,205.00,169.05
749,192.90,0.1000,240.00,192.90
750,118.50,0.1000,165.00,118.50
