Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
382,99.87,0.5927,140.00,99.87,202314
383,166.11,0.5913,210.00,166.11,203075
384,40.51,0.5899,60.00,40.51,203417
385,195.37,0.5884,230.00,195.37,204041
386,92.77,0.5870,120.00,92.77,204524
387,79.69,0.5856,105.00,79.69,204973
388,123.63,0.5842,155.00,123.63,205537
389,180.11,0.5828,215.00,180.11,206157
390,112.85,0.5814,135.00,112.85,206561
391,65.45,0.5800,80.00,65.45,206824
392,86.54,0.5785,105.00,86.54,207152
393,24.25,0.5771,45.00,24.25,207513
394,181.36,0.5757,210.00,181.36,208010
395,102.39,0.5743,130.00,102.39,208504
396,24.78,0.5729,45.00,24.78,208861
397,134.75,0.5715,155.00,134.75,209226
398,192.60,0.5701,225.00,192.60,209806
399,126.94,0.5686,155.00,126.94,210294
400,177.66,0.5672,210.00,177.66,210875
401,134.67,0.5658,165.00,134.67,211418
402,42.60,0.5644,65.00,42.60,211828
403,277.14,0.5630,330.00,277.14,212730
404,268.55,0.5616,310.00,268.55,213470
405,160.71,0.5602,190.00,160.71,213996
406,152.05,0.5587,180.00,152.05,214501
407,93.63,0.5573,120.00,93.63,214980
408,82.92,0.5559,105.00,82.92,215367
409,139.32,0.5545,165.00,139.32,215836
410,75.20,0.5531,105.00,75.20,216378
411,28.89,0.5517,45.00,28.89,216651
412,443.53,0.5503,495.00,443.53,217543
413,373.80,0.5488,425.00,373.80,218425
414,149.56,0.5474,180.00,149.56,218968
415,42.00,0.5460,65.00,42.00,219376
416,112.07,0.5446,135.00,112.07,219782
417,92.71,0.5432,115.00,92.71,220186
418,113.81,0.5418,155.00,113.81,220908
419,17.67,0.5404,40.00,17.67,221308
420,217.73,0.5389,255.00,217.73,221983
421,111.61,0.5375,135.00,111.61,222398
422,382.83,0.5361,435.00,382.83,223322
423,172.85,0.5347,225.00,172.85,224252
424,139.30,0.5333,165.00,139.30,224698
425,112.64,0.5319,135.00,112.64,225106
426,82.96,0.5305,105.00,82.96,225514
427,120.92,0.5290,155.00,120.92,226112
428,35.63,0.5276,55.00,35.63,226465
429,281.47,0.5262,320.00,281.47,227158
430,204.89,0.5248,240.00,204.89,227775
431,33.69,0.5234,60.00,33.69,228234
432,127.44,0.5220,155.00,127.44,228711
433,175.76,0.5206,225.00,175.76,229591
434,406.37,0.5191,445.00,406.37,230292
435,139.58,0.5177,180.00,139.58,231012
436,146.29,0.5163,185.00,146.29,231702
437,153.05,0.5149,185.00,153.05,232285
438,262.29,0.5135,300.00,262.29,232969
439,-15.66,0.5121,5.00,-15.66,233342
440,217.77,0.5107,255.00,217.77,233980
441,319.06,0.5092,375.00,319.06,234990
442,494.72,0.5078,555.00,494.72,236060
443,74.70,0.5064,105.00,74.70,236606
444,152.10,0.5050,180.00,152.10,237098
445,79.05,0.5036,105.00,79.05,237562
446,179.59,0.5022,215.00,179.59,238201
447,59.18,0.5008,75.00,59.18,238484
448,382.23,0.4993,425.00,382.23,239250
449,512.78,0.4979,565.00,512.78,240194
450,151.89,0.4965,195.00,151.89,240965
451,67.60,0.4951,90.00,67.60,241374
452,149.77,0.4937,180.00,149.77,241927
453,152.88,0.4923,180.00,152.88,242414
454,86.75,0.4909,110.00,86.75,242832
455,84.72,0.4894,110.00,84.72,243284
456,343.50,0.4880,380.00,343.50,243888
457,53.85,0.4866,80.00,53.85,244350
458,127.82,0.4852,160.00,127.82,244928
459,49.43,0.4838,80.00,49.43,245439
460,55.55,0.4824,80.00,55.55,245870
461,99.26,0.4810,120.00,99.26,246248
462,200.79,0.4795,235.00,200.79,246861
463,173.54,0.4781,215.00,173.54,247604
464,78.45,0.4767,110.00,78.45,248160
465,128.24,0.4753,160.00,128.24,248723
466,180.16,0.4739,225.00,180.16,249490
467,417.68,0.4725,455.00,417.68,250154
468,68.94,0.4711,90.00,68.94,250531
469,154.34,0.4696,210.00,154.34,251520
470,125.44,0.4682,150.00,125.44,251960
471,193.14,0.4668,225.00,193.14,252523
472,163.58,0.4654,210.00,163.58,253346
473,103.03,0.4640,130.00,103.03,253828
474,93.81,0.4626,120.00,93.81,254305
475,111.88,0.4612,135.00,111.88,254719
476,176.14,0.4597,230.00,176.14,255658
477,80.82,0.4583,110.00,80.82,256189
478,135.88,0.4569,160.00,135.88,256626
479,425.57,0.4555,465.00,425.57,257340
480,132.15,0.4541,160.00,132.15,257844
481,83.39,0.4527,110.00,83.39,258320
482,226.63,0.4513,270.00,226.63,259079
483,348.09,0.4498,380.00,348.09,259645
484,149.71,0.4484,180.00,149.71,260179
485,226.02,0.4470,265.00,226.02,260862
486,172.00,0.4456,215.00,172.00,261640
487,443.52,0.4442,495.00,443.52,262561
488,39.71,0.4428,60.00,39.71,262926
489,453.52,0.4414,490.00,453.52,263575
490,504.94,0.4399,560.00,504.94,264547
491,200.76,0.4385,235.00,200.76,265156
492,362.45,0.4371,410.00,362.45,265975
493,110.83,0.4357,140.00,110.83,266509
494,150.13,0.4343,175.00,150.13,266965
495,82.12,0.4329,110.00,82.12,267480
496,13.17,0.4315,30.00,13.17,267773
497,54.95,0.4300,75.00,54.95,268138
498,425.82,0.4286,465.00,425.82,268845
499,183.10,0.4272,210.00,183.10,269320
500,101.93,0.4258,125.00,101.93,269729
501,208.68,0.4244,240.00,208.68,270291
502,64.29,0.4230,90.00,64.29,270762
503,72.91,0.4216,90.00,72.91,271066
504,76.72,0.4201,105.00,76.72,271568
